ts	hostid	type	mod	value	tag
1782853200000	host013	disk	sdd_rqm	82.32	disk_rqm_per_sec
1782853500000	host001	disk	sde_await	13.33	disk_latency_ms
1782853800000	host015	disk	sdd_avgrq	423.01	disk_other_metric
1782854100000	host018	disk	sdb_svctm	7.82	disk_latency_ms
1782854400000	host010	disk	sdd_write	30662	disk_rw_sectors
1782854700000	host019	disk	sde_svctm	3.14	disk_latency_ms
1782855000000	host011	disk	sdd_rqm	25.07	disk_rqm_per_sec
1782855300000	host016	disk	sdc_svctm	45.98	disk_latency_ms
1782855600000	host017	disk	sda_write	29821	disk_rw_sectors
1782855900000	host017	disk	sda_read	446348	disk_rw_sectors
1782856200000	host006	disk	sde_rqm	297.52	disk_rqm_per_sec
1782856500000	host008	disk	sda_util	11.99	disk_util_percent
1782856800000	host019	disk	sda_avgrq	578.92	disk_other_metric
1782857100000	host002	disk	sda_read	219794	disk_rw_sectors
1782857400000	host019	disk	sdd_svctm	15.89	disk_latency_ms
1782857700000	host009	disk	sdd_write	351129	disk_rw_sectors
1782858000000	host011	disk	sda_avgrq	265.61	disk_other_metric
1782858300000	host005	disk	sde_avgrq	457.22	disk_other_metric
1782858600000	host003	disk	sda_rqm	229.14	disk_rqm_per_sec
1782858900000	host019	disk	sdb_read	38409	disk_rw_sectors
1782859200000	host018	disk	sdd_write	265229	disk_rw_sectors
1782859500000	host009	disk	sdd_read	489296	disk_rw_sectors
1782859800000	host012	disk	sde_rqm	439.64	disk_rqm_per_sec
1782860100000	host012	disk	sdd_avgrq	157.75	disk_other_metric
1782860400000	host018	disk	sde_avgrq	611.68	disk_other_metric
1782860700000	host017	disk	sda_rqm	333.93	disk_rqm_per_sec
1782861000000	host018	disk	sde_avgrq	931.76	disk_other_metric
1782861300000	host004	disk	sdd_read	138656	disk_rw_sectors
1782861600000	host004	disk	sdb_read	389240	disk_rw_sectors
1782861900000	host018	disk	sde_read	142788	disk_rw_sectors
1782862200000	host010	disk	sdd_write	376235	disk_rw_sectors
1782862500000	host011	disk	sdd_write	360446	disk_rw_sectors
1782862800000	host009	disk	sdc_svctm	24.48	disk_latency_ms
1782863100000	host002	disk	sda_read	332547	disk_rw_sectors
1782863400000	host014	disk	sdc_avgrq	44.09	disk_other_metric
1782863700000	host011	disk	sdd_read	334030	disk_rw_sectors
1782864000000	host009	disk	sda_write	388618	disk_rw_sectors
1782864300000	host015	disk	sdc_util	56.09	disk_util_percent
1782864600000	host004	disk	sde_rqm	472.53	disk_rqm_per_sec
1782864900000	host005	disk	sde_svctm	1.90	disk_latency_ms
1782865200000	host012	disk	sde_read	225332	disk_rw_sectors
1782865500000	host005	disk	sdc_rqm	154.13	disk_rqm_per_sec
1782865800000	host002	disk	sdc_await	10.58	disk_latency_ms
1782866100000	host008	disk	sdb_read	185429	disk_rw_sectors
1782866400000	host018	disk	sdb_util	97.38	disk_util_percent
1782866700000	host005	disk	sda_avgrq	864.61	disk_other_metric
1782867000000	host006	disk	sdb_util	2.48	disk_util_percent
1782867300000	host011	disk	sdb_util	80.22	disk_util_percent
1782867600000	host008	disk	sdc_avgrq	159.20	disk_other_metric
1782867900000	host004	disk	sde_await	43.62	disk_latency_ms
1782868200000	host016	disk	sde_write	104633	disk_rw_sectors
1782868500000	host015	disk	sdc_await	15.33	disk_latency_ms
1782868800000	host008	disk	sde_write	12406	disk_rw_sectors
1782869100000	host007	disk	sda_util	32.83	disk_util_percent
1782869400000	host003	disk	sdc_avgrq	351.15	disk_other_metric
1782869700000	host017	disk	sda_util	67.95	disk_util_percent
1782870000000	host018	disk	sdb_await	46.97	disk_latency_ms
1782870300000	host004	disk	sdb_avgrq	178.57	disk_other_metric
1782870600000	host009	disk	sdc_rqm	54.20	disk_rqm_per_sec
1782870900000	host014	disk	sdc_await	36.45	disk_latency_ms
1782871200000	host011	disk	sdc_util	60.62	disk_util_percent
1782871500000	host017	disk	sdc_read	201953	disk_rw_sectors
1782871800000	host019	disk	sdc_write	133547	disk_rw_sectors
1782872100000	host002	disk	sdc_util	0.17	disk_util_percent
1782872400000	host018	disk	sdc_write	190956	disk_rw_sectors
1782872700000	host014	disk	sde_rqm	474.44	disk_rqm_per_sec
1782873000000	host011	disk	sda_await	33.20	disk_latency_ms
1782873300000	host004	disk	sde_avgrq	507.12	disk_other_metric
1782873600000	host014	disk	sda_await	20.18	disk_latency_ms
1782873900000	host010	disk	sdd_read	100579	disk_rw_sectors
1782874200000	host014	disk	sde_await	33.90	disk_latency_ms
1782874500000	host006	disk	sde_avgrq	406.08	disk_other_metric
1782874800000	host001	disk	sde_avgrq	286.91	disk_other_metric
1782875100000	host014	disk	sda_await	23.30	disk_latency_ms
1782875400000	host015	disk	sdd_write	268002	disk_rw_sectors
1782875700000	host016	disk	sda_write	345427	disk_rw_sectors
1782876000000	host003	disk	sdd_avgrq	515.45	disk_other_metric
1782876300000	host020	disk	sdb_await	4.76	disk_latency_ms
1782876600000	host008	disk	sde_avgrq	224.64	disk_other_metric
1782876900000	host007	disk	sde_read	12805	disk_rw_sectors
1782877200000	host002	disk	sda_avgrq	983.94	disk_other_metric
1782877500000	host020	disk	sde_rqm	227.71	disk_rqm_per_sec
1782877800000	host019	disk	sdc_write	376620	disk_rw_sectors
1782878100000	host013	disk	sdb_svctm	20.04	disk_latency_ms
1782878400000	host005	disk	sda_rqm	446.33	disk_rqm_per_sec
1782878700000	host004	disk	sdc_util	21.88	disk_util_percent
1782879000000	host017	disk	sde_util	5.02	disk_util_percent
1782879300000	host008	disk	sdc_read	239317	disk_rw_sectors
1782879600000	host005	disk	sde_util	66.76	disk_util_percent
1782879900000	host018	disk	sda_await	47.51	disk_latency_ms
1782880200000	host015	disk	sdc_svctm	21.39	disk_latency_ms
1782880500000	host018	disk	sdd_util	89.72	disk_util_percent
1782880800000	host016	disk	sdd_util	25.92	disk_util_percent
1782881100000	host008	disk	sdc_avgrq	765.81	disk_other_metric
1782881400000	host017	disk	sdb_svctm	31.37	disk_latency_ms
1782881700000	host009	disk	sdd_util	7.75	disk_util_percent
1782882000000	host010	disk	sda_avgrq	271.72	disk_other_metric
1782882300000	host011	disk	sde_svctm	4.12	disk_latency_ms
1782882600000	host005	disk	sde_write	200820	disk_rw_sectors
1782882900000	host005	disk	sdd_write	33674	disk_rw_sectors
1782883200000	host014	disk	sdb_util	33.09	disk_util_percent
1782883500000	host015	disk	sdb_util	6.23	disk_util_percent
1782883800000	host014	disk	sde_await	45.25	disk_latency_ms
1782884100000	host019	disk	sdb_rqm	428.37	disk_rqm_per_sec
1782884400000	host019	disk	sde_await	23.90	disk_latency_ms
1782884700000	host012	disk	sde_avgrq	753.48	disk_other_metric
1782885000000	host014	disk	sde_svctm	37.40	disk_latency_ms
1782885300000	host018	disk	sde_write	255972	disk_rw_sectors
1782885600000	host008	disk	sdc_avgrq	435.84	disk_other_metric
1782885900000	host001	disk	sde_await	16.87	disk_latency_ms
1782886200000	host013	disk	sda_write	440667	disk_rw_sectors
1782886500000	host015	disk	sdd_read	326241	disk_rw_sectors
1782886800000	host018	disk	sdb_rqm	453.46	disk_rqm_per_sec
1782887100000	host019	disk	sdb_rqm	41.97	disk_rqm_per_sec
1782887400000	host014	disk	sdd_read	454479	disk_rw_sectors
1782887700000	host015	disk	sdb_write	26363	disk_rw_sectors
1782888000000	host009	disk	sde_await	16.43	disk_latency_ms
1782888300000	host015	disk	sda_await	16.94	disk_latency_ms
1782888600000	host013	disk	sdc_avgrq	752.01	disk_other_metric
1782888900000	host014	disk	sdb_avgrq	834.91	disk_other_metric
1782889200000	host016	disk	sdb_rqm	374.51	disk_rqm_per_sec
1782889500000	host002	disk	sdc_await	11.29	disk_latency_ms
1782889800000	host003	disk	sdc_rqm	377.12	disk_rqm_per_sec
1782890100000	host008	disk	sdc_write	439997	disk_rw_sectors
1782890400000	host001	disk	sde_read	125066	disk_rw_sectors
1782890700000	host005	disk	sda_svctm	33.51	disk_latency_ms
1782891000000	host019	disk	sdd_write	243811	disk_rw_sectors
1782891300000	host009	disk	sdd_await	8.47	disk_latency_ms
1782891600000	host020	disk	sdc_read	407786	disk_rw_sectors
1782891900000	host006	disk	sde_avgrq	108.10	disk_other_metric
1782892200000	host001	disk	sde_avgrq	575.80	disk_other_metric
1782892500000	host013	disk	sda_util	94.15	disk_util_percent
1782892800000	host007	disk	sde_rqm	296.05	disk_rqm_per_sec
1782893100000	host008	disk	sdb_read	365529	disk_rw_sectors
1782893400000	host010	disk	sdc_read	417452	disk_rw_sectors
1782893700000	host019	disk	sdc_rqm	173.60	disk_rqm_per_sec
1782894000000	host014	disk	sdd_await	3.54	disk_latency_ms
1782894300000	host011	disk	sda_rqm	424.79	disk_rqm_per_sec
1782894600000	host016	disk	sdb_read	227291	disk_rw_sectors
1782894900000	host012	disk	sde_util	70.73	disk_util_percent
1782895200000	host014	disk	sdb_write	384720	disk_rw_sectors
1782895500000	host017	disk	sdc_avgrq	615.91	disk_other_metric
1782895800000	host018	disk	sda_svctm	23.30	disk_latency_ms
1782896100000	host019	disk	sdc_avgrq	322.30	disk_other_metric
1782896400000	host008	disk	sda_read	146238	disk_rw_sectors
1782896700000	host015	disk	sda_avgrq	750.48	disk_other_metric
1782897000000	host019	disk	sde_await	16.89	disk_latency_ms
1782897300000	host016	disk	sda_await	9.17	disk_latency_ms
1782897600000	host007	disk	sdc_await	39.91	disk_latency_ms
1782897900000	host011	disk	sdc_avgrq	880.32	disk_other_metric
1782898200000	host009	disk	sda_rqm	258.31	disk_rqm_per_sec
1782898500000	host007	disk	sda_read	126540	disk_rw_sectors
1782898800000	host014	disk	sdb_svctm	27.80	disk_latency_ms
1782899100000	host008	disk	sda_svctm	32.33	disk_latency_ms
1782899400000	host016	disk	sdd_util	79.29	disk_util_percent
1782899700000	host003	disk	sdd_avgrq	221.60	disk_other_metric
1782900000000	host008	disk	sde_avgrq	663.96	disk_other_metric
1782900300000	host012	disk	sda_svctm	27.72	disk_latency_ms
1782900600000	host012	disk	sdc_util	99.66	disk_util_percent
1782900900000	host018	disk	sdb_await	17.66	disk_latency_ms
1782901200000	host015	disk	sdc_avgrq	306.62	disk_other_metric
1782901500000	host008	disk	sdc_read	378160	disk_rw_sectors
1782901800000	host007	disk	sda_await	6.07	disk_latency_ms
1782902100000	host018	disk	sdb_write	100422	disk_rw_sectors
1782902400000	host007	disk	sda_svctm	13.90	disk_latency_ms
1782902700000	host019	disk	sdd_svctm	29.88	disk_latency_ms
1782903000000	host004	disk	sdc_write	155318	disk_rw_sectors
1782903300000	host008	disk	sdd_await	9.05	disk_latency_ms
1782903600000	host001	disk	sde_svctm	6.42	disk_latency_ms
1782903900000	host002	disk	sdd_rqm	276.68	disk_rqm_per_sec
1782904200000	host005	disk	sdb_svctm	5.22	disk_latency_ms
1782904500000	host001	disk	sdd_avgrq	469.40	disk_other_metric
1782904800000	host015	disk	sdb_await	9.30	disk_latency_ms
1782905100000	host002	disk	sdb_avgrq	941.06	disk_other_metric
1782905400000	host016	disk	sdc_read	431025	disk_rw_sectors
1782905700000	host003	disk	sda_util	49.17	disk_util_percent
1782906000000	host019	disk	sdd_rqm	75.86	disk_rqm_per_sec
1782906300000	host019	disk	sde_avgrq	85.18	disk_other_metric
1782906600000	host008	disk	sdc_read	292590	disk_rw_sectors
1782906900000	host014	disk	sde_write	406686	disk_rw_sectors
1782907200000	host017	disk	sde_await	22.58	disk_latency_ms
1782907500000	host015	disk	sde_avgrq	860.17	disk_other_metric
1782907800000	host014	disk	sde_avgrq	568.63	disk_other_metric
1782908100000	host002	disk	sdb_read	496810	disk_rw_sectors
1782908400000	host007	disk	sdd_write	138750	disk_rw_sectors
1782908700000	host003	disk	sda_write	125758	disk_rw_sectors
1782909000000	host006	disk	sde_rqm	78.27	disk_rqm_per_sec
1782909300000	host014	disk	sdd_util	68.94	disk_util_percent
1782909600000	host016	disk	sdd_avgrq	32.64	disk_other_metric
1782909900000	host010	disk	sdd_avgrq	702.99	disk_other_metric
1782910200000	host015	disk	sde_rqm	343.69	disk_rqm_per_sec
1782910500000	host009	disk	sdc_write	222895	disk_rw_sectors
1782910800000	host004	disk	sde_svctm	11.32	disk_latency_ms
1782911100000	host005	disk	sdc_avgrq	826.63	disk_other_metric
1782911400000	host003	disk	sdd_rqm	82.96	disk_rqm_per_sec
1782911700000	host010	disk	sdd_avgrq	439.15	disk_other_metric
1782912000000	host015	disk	sde_avgrq	699.73	disk_other_metric
1782912300000	host009	disk	sdc_svctm	27.05	disk_latency_ms
1782912600000	host015	disk	sda_read	313543	disk_rw_sectors
1782912900000	host002	disk	sdc_util	73.45	disk_util_percent
1782913200000	host020	disk	sdb_avgrq	25.86	disk_other_metric
1782913500000	host008	disk	sdb_rqm	499.79	disk_rqm_per_sec
1782913800000	host009	disk	sdc_rqm	381.55	disk_rqm_per_sec
1782914100000	host006	disk	sda_svctm	26.00	disk_latency_ms
1782914400000	host015	disk	sdc_avgrq	181.49	disk_other_metric
1782914700000	host019	disk	sdc_util	63.48	disk_util_percent
1782915000000	host016	disk	sda_read	246420	disk_rw_sectors
1782915300000	host012	disk	sdb_util	33.33	disk_util_percent
1782915600000	host004	disk	sda_write	172912	disk_rw_sectors
1782915900000	host014	disk	sdb_svctm	14.48	disk_latency_ms
1782916200000	host013	disk	sdc_rqm	227.41	disk_rqm_per_sec
1782916500000	host011	disk	sdb_avgrq	323.27	disk_other_metric
1782916800000	host013	disk	sdc_svctm	41.26	disk_latency_ms
1782917100000	host001	disk	sde_svctm	23.15	disk_latency_ms
1782917400000	host002	disk	sdc_write	271811	disk_rw_sectors
1782917700000	host012	disk	sdb_svctm	31.31	disk_latency_ms
1782918000000	host002	disk	sdd_write	140014	disk_rw_sectors
1782918300000	host018	disk	sdd_read	486367	disk_rw_sectors
1782918600000	host010	disk	sdd_util	88.08	disk_util_percent
1782918900000	host016	disk	sdc_read	15135	disk_rw_sectors
1782919200000	host020	disk	sda_avgrq	709.78	disk_other_metric
1782919500000	host010	disk	sda_rqm	276.13	disk_rqm_per_sec
1782919800000	host003	disk	sde_write	441138	disk_rw_sectors
1782920100000	host004	disk	sde_util	94.71	disk_util_percent
1782920400000	host005	disk	sdb_svctm	46.64	disk_latency_ms
1782920700000	host010	disk	sdc_svctm	35.30	disk_latency_ms
1782921000000	host014	disk	sda_svctm	49.01	disk_latency_ms
1782921300000	host008	disk	sde_util	55.13	disk_util_percent
1782921600000	host013	disk	sdc_write	483324	disk_rw_sectors
1782921900000	host020	disk	sdc_svctm	37.34	disk_latency_ms
1782922200000	host005	disk	sde_rqm	138.12	disk_rqm_per_sec
1782922500000	host014	disk	sdb_await	46.72	disk_latency_ms
1782922800000	host017	disk	sdc_avgrq	820.55	disk_other_metric
1782923100000	host010	disk	sde_avgrq	837.48	disk_other_metric
1782923400000	host019	disk	sdb_svctm	43.28	disk_latency_ms
1782923700000	host015	disk	sde_svctm	24.27	disk_latency_ms
1782924000000	host011	disk	sde_svctm	18.92	disk_latency_ms
1782924300000	host011	disk	sdc_write	365690	disk_rw_sectors
1782924600000	host008	disk	sde_await	11.75	disk_latency_ms
1782924900000	host014	disk	sdc_rqm	159.09	disk_rqm_per_sec
1782925200000	host016	disk	sde_await	19.37	disk_latency_ms
1782925500000	host005	disk	sdb_svctm	48.24	disk_latency_ms
1782925800000	host005	disk	sdc_svctm	48.27	disk_latency_ms
1782926100000	host011	disk	sdb_read	458327	disk_rw_sectors
1782926400000	host015	disk	sdb_read	275749	disk_rw_sectors
1782926700000	host015	disk	sda_rqm	361.22	disk_rqm_per_sec
1782927000000	host014	disk	sde_read	39231	disk_rw_sectors
1782927300000	host016	disk	sdb_avgrq	338.56	disk_other_metric
1782927600000	host013	disk	sda_read	446570	disk_rw_sectors
1782927900000	host011	disk	sde_svctm	19.06	disk_latency_ms
1782928200000	host011	disk	sdb_svctm	43.63	disk_latency_ms
1782928500000	host002	disk	sde_rqm	117.39	disk_rqm_per_sec
1782928800000	host010	disk	sde_write	391520	disk_rw_sectors
1782929100000	host003	disk	sdc_util	97.83	disk_util_percent
1782929400000	host004	disk	sdd_util	16.64	disk_util_percent
1782929700000	host010	disk	sdb_rqm	23.00	disk_rqm_per_sec
1782930000000	host002	disk	sdd_avgrq	358.46	disk_other_metric
1782930300000	host014	disk	sde_read	128029	disk_rw_sectors
1782930600000	host017	disk	sdb_util	56.59	disk_util_percent
1782930900000	host006	disk	sda_write	91786	disk_rw_sectors
1782931200000	host003	disk	sde_await	31.02	disk_latency_ms
1782931500000	host008	disk	sdb_svctm	45.65	disk_latency_ms
1782931800000	host005	disk	sde_write	241775	disk_rw_sectors
1782932100000	host009	disk	sde_util	25.53	disk_util_percent
1782932400000	host001	disk	sde_util	90.12	disk_util_percent
1782932700000	host018	disk	sda_write	38724	disk_rw_sectors
1782933000000	host015	disk	sdc_await	49.38	disk_latency_ms
1782933300000	host010	disk	sdc_util	69.03	disk_util_percent
1782933600000	host015	disk	sde_avgrq	199.22	disk_other_metric
1782933900000	host013	disk	sda_svctm	5.42	disk_latency_ms
1782934200000	host013	disk	sdc_await	28.78	disk_latency_ms
1782934500000	host010	disk	sdb_rqm	488.97	disk_rqm_per_sec
1782934800000	host013	disk	sdc_avgrq	8.10	disk_other_metric
1782935100000	host002	disk	sdb_svctm	41.66	disk_latency_ms
1782935400000	host010	disk	sde_write	318276	disk_rw_sectors
1782935700000	host012	disk	sde_write	333771	disk_rw_sectors
1782936000000	host007	disk	sdb_avgrq	677.76	disk_other_metric
1782936300000	host005	disk	sdb_read	473643	disk_rw_sectors
1782936600000	host002	disk	sde_avgrq	788.61	disk_other_metric
1782936900000	host002	disk	sdd_await	36.64	disk_latency_ms
1782937200000	host003	disk	sdd_avgrq	326.72	disk_other_metric
1782937500000	host014	disk	sdb_write	105274	disk_rw_sectors
1782937800000	host005	disk	sde_svctm	43.84	disk_latency_ms
1782938100000	host012	disk	sdd_svctm	25.14	disk_latency_ms
1782938400000	host009	disk	sda_write	134726	disk_rw_sectors
1782938700000	host016	disk	sdd_avgrq	746.56	disk_other_metric
1782939000000	host011	disk	sdc_read	245540	disk_rw_sectors
1782939300000	host003	disk	sde_read	395392	disk_rw_sectors
1782939600000	host008	disk	sda_util	96.73	disk_util_percent
1782939900000	host018	disk	sdd_await	4.61	disk_latency_ms
1782940200000	host013	disk	sda_rqm	132.23	disk_rqm_per_sec
1782940500000	host004	disk	sde_util	36.86	disk_util_percent
1782940800000	host009	disk	sde_await	41.14	disk_latency_ms
1782941100000	host012	disk	sdb_read	353808	disk_rw_sectors
1782941400000	host008	disk	sda_svctm	1.35	disk_latency_ms
1782941700000	host018	disk	sda_await	45.77	disk_latency_ms
1782942000000	host008	disk	sde_rqm	317.70	disk_rqm_per_sec
1782942300000	host015	disk	sde_avgrq	649.24	disk_other_metric
1782942600000	host004	disk	sdd_read	23774	disk_rw_sectors
1782942900000	host002	disk	sde_avgrq	995.93	disk_other_metric
1782943200000	host004	disk	sdb_read	123102	disk_rw_sectors
1782943500000	host018	disk	sdd_read	203762	disk_rw_sectors
1782943800000	host015	disk	sdd_await	33.56	disk_latency_ms
1782944100000	host018	disk	sdb_util	58.73	disk_util_percent
1782944400000	host005	disk	sdb_util	65.49	disk_util_percent
1782944700000	host016	disk	sdb_util	93.91	disk_util_percent
1782945000000	host009	disk	sdc_rqm	345.14	disk_rqm_per_sec
1782945300000	host007	disk	sdd_util	44.47	disk_util_percent
1782945600000	host008	disk	sdd_await	5.06	disk_latency_ms
1782945900000	host012	disk	sde_svctm	45.09	disk_latency_ms
1782946200000	host012	disk	sdd_rqm	199.07	disk_rqm_per_sec
1782946500000	host007	disk	sdc_read	497554	disk_rw_sectors
1782946800000	host015	disk	sda_read	347481	disk_rw_sectors
1782947100000	host007	disk	sdb_rqm	25.29	disk_rqm_per_sec
1782947400000	host011	disk	sda_avgrq	988.82	disk_other_metric
1782947700000	host019	disk	sdd_write	35971	disk_rw_sectors
1782948000000	host018	disk	sdd_write	307433	disk_rw_sectors
1782948300000	host007	disk	sde_write	172259	disk_rw_sectors
1782948600000	host005	disk	sda_rqm	138.64	disk_rqm_per_sec
1782948900000	host005	disk	sdd_read	283228	disk_rw_sectors
1782949200000	host009	disk	sdb_write	57633	disk_rw_sectors
1782949500000	host001	disk	sdd_read	7791	disk_rw_sectors
1782949800000	host012	disk	sda_avgrq	588.85	disk_other_metric
1782950100000	host001	disk	sdb_write	139129	disk_rw_sectors
1782950400000	host002	disk	sdd_read	388873	disk_rw_sectors
1782950700000	host014	disk	sdd_svctm	5.77	disk_latency_ms
1782951000000	host003	disk	sda_svctm	22.47	disk_latency_ms
1782951300000	host012	disk	sdc_svctm	29.72	disk_latency_ms
1782951600000	host015	disk	sdc_svctm	11.16	disk_latency_ms
1782951900000	host020	disk	sdc_rqm	363.62	disk_rqm_per_sec
1782952200000	host017	disk	sde_avgrq	458.04	disk_other_metric
1782952500000	host001	disk	sdd_rqm	499.29	disk_rqm_per_sec
1782952800000	host013	disk	sdc_util	68.61	disk_util_percent
1782953100000	host016	disk	sdd_util	7.35	disk_util_percent
1782953400000	host003	disk	sda_await	30.45	disk_latency_ms
1782953700000	host003	disk	sdd_read	144187	disk_rw_sectors
1782954000000	host020	disk	sda_await	19.11	disk_latency_ms
1782954300000	host020	disk	sdd_svctm	14.82	disk_latency_ms
1782954600000	host017	disk	sdc_util	9.92	disk_util_percent
1782954900000	host004	disk	sdd_write	225480	disk_rw_sectors
1782955200000	host015	disk	sde_write	216957	disk_rw_sectors
1782955500000	host011	disk	sde_util	39.87	disk_util_percent
1782955800000	host004	disk	sda_await	21.40	disk_latency_ms
1782956100000	host009	disk	sdd_await	47.68	disk_latency_ms
1782956400000	host016	disk	sde_rqm	45.61	disk_rqm_per_sec
1782956700000	host003	disk	sda_read	226427	disk_rw_sectors
1782957000000	host004	disk	sdd_await	40.61	disk_latency_ms
1782957300000	host018	disk	sdd_rqm	293.23	disk_rqm_per_sec
1782957600000	host018	disk	sdb_await	33.53	disk_latency_ms
1782957900000	host014	disk	sdc_await	43.69	disk_latency_ms
1782958200000	host014	disk	sdd_rqm	484.20	disk_rqm_per_sec
1782958500000	host020	disk	sde_avgrq	351.65	disk_other_metric
1782958800000	host019	disk	sdc_svctm	10.72	disk_latency_ms
1782959100000	host016	disk	sde_write	444216	disk_rw_sectors
1782959400000	host004	disk	sdc_await	42.28	disk_latency_ms
1782959700000	host012	disk	sdc_read	399824	disk_rw_sectors
1782960000000	host009	disk	sde_write	423216	disk_rw_sectors
1782960300000	host014	disk	sdb_rqm	304.50	disk_rqm_per_sec
1782960600000	host009	disk	sdb_rqm	90.21	disk_rqm_per_sec
1782960900000	host010	disk	sdb_await	17.62	disk_latency_ms
1782961200000	host006	disk	sde_read	296915	disk_rw_sectors
1782961500000	host013	disk	sde_rqm	70.94	disk_rqm_per_sec
1782961800000	host001	disk	sda_read	391177	disk_rw_sectors
1782962100000	host017	disk	sdd_write	197234	disk_rw_sectors
1782962400000	host014	disk	sde_util	34.09	disk_util_percent
1782962700000	host012	disk	sde_avgrq	721.60	disk_other_metric
1782963000000	host019	disk	sda_read	463125	disk_rw_sectors
1782963300000	host002	disk	sde_read	82528	disk_rw_sectors
1782963600000	host020	disk	sdd_rqm	336.98	disk_rqm_per_sec
1782963900000	host009	disk	sdd_util	66.19	disk_util_percent
1782964200000	host016	disk	sdd_util	41.42	disk_util_percent
1782964500000	host007	disk	sdc_svctm	5.78	disk_latency_ms
1782964800000	host014	disk	sdc_read	148502	disk_rw_sectors
1782965100000	host019	disk	sdb_svctm	26.39	disk_latency_ms
1782965400000	host010	disk	sdc_rqm	110.26	disk_rqm_per_sec
1782965700000	host020	disk	sdd_rqm	3.84	disk_rqm_per_sec
1782966000000	host010	disk	sdd_write	402312	disk_rw_sectors
1782966300000	host005	disk	sdb_avgrq	289.45	disk_other_metric
1782966600000	host004	disk	sda_rqm	248.69	disk_rqm_per_sec
1782966900000	host014	disk	sdb_write	67730	disk_rw_sectors
